DATE,UNRATE,T10Y3M
2009-04-01,9.0,2.7690476190476190
2009-05-01,9.4,3.1160000000000000
2009-06-01,9.5,3.5431818181818182
2009-07-01,9.5,3.3786363636363636
2009-08-01,9.6,3.4152380952380952
2009-09-01,9.8,3.2785714285714286
2009-10-01,10.0,3.3133333333333333
2009-11-01,9.9,3.3505263157894737
2009-12-01,9.9,3.5354545454545455
2010-01-01,9.8,3.6715789473684211
2010-02-01,9.8,3.5821052631578947
2010-03-01,9.9,3.5769565217391304
2010-04-01,9.9,3.6845454545454545
2010-05-01,9.6,3.2600000000000000
2010-06-01,9.4,3.0804545454545455
2010-07-01,9.4,2.8538095238095238
2010-08-01,9.5,2.5436363636363636
2010-09-01,9.5,2.4957142857142857
2010-10-01,9.4,2.4055000000000000
2010-11-01,9.8,2.6200000000000000
2010-12-01,9.3,3.1500000000000000
2011-01-01,9.1,3.2420000000000000
2011-02-01,9.0,3.4442105263157895
2011-03-01,9.0,3.3139130434782609
2011-04-01,9.1,3.3965000000000000
2011-05-01,9.0,3.1276190476190476
2011-06-01,9.1,2.9650000000000000
2011-07-01,9.0,2.9655000000000000
2011-08-01,9.0,2.2786956521739130
2011-09-01,9.0,1.9614285714285714
2011-10-01,8.8,2.1330000000000000
2011-11-01,8.6,1.9995000000000000
2011-12-01,8.5,1.9666666666666667
2012-01-01,8.3,1.9320000000000000
2012-02-01,8.3,1.8755000000000000
2012-03-01,8.2,2.0886363636363636
2012-04-01,8.2,1.9690476190476190
2012-05-01,8.2,1.7136363636363636
2012-06-01,8.2,1.5309523809523810
2012-07-01,8.2,1.4295238095238095
2012-08-01,8.1,1.5756521739130435
2012-09-01,7.8,1.6178947368421053
2012-10-01,7.8,1.6414285714285714
2012-11-01,7.7,1.5605000000000000
2012-12-01,7.9,1.6490000000000000
2013-01-01,8.0,1.8404761904761905
2013-02-01,7.7,1.8852631578947368
2013-03-01,7.5,1.8705000000000000
2013-04-01,7.6,1.6990909090909091
2013-05-01,7.5,1.8840909090909091
2013-06-01,7.5,2.2495000000000000
2013-07-01,7.3,2.5468181818181818
2013-08-01,7.2,2.6936363636363636
2013-09-01,7.2,2.7935000000000000
2013-10-01,7.2,2.5686363636363636
2013-11-01,6.9,2.6505263157894737
2013-12-01,6.7,2.8352380952380952
2014-01-01,6.6,2.8147619047619048
2014-02-01,6.7,2.6568421052631579
2014-03-01,6.7,2.6709523809523810
2014-04-01,6.2,2.6742857142857143
2014-05-01,6.3,2.5266666666666667
2014-06-01,6.1,2.5628571428571429
2014-07-01,6.2,2.5159090909090909
2014-08-01,6.1,2.3871428571428571
2014-09-01,5.9,2.5142857142857143
2014-10-01,5.7,2.2872727272727273
2014-11-01,5.8,2.3038888888888889
2014-12-01,5.6,2.1781818181818182
2015-01-01,5.7,1.8540000000000000
2015-02-01,5.5,1.9573684210526316
2015-03-01,5.4,2.0150000000000000
2015-04-01,5.4,1.9118181818181818
2015-05-01,5.6,2.1810000000000000
2015-06-01,5.3,2.3486363636363636
2015-07-01,5.2,2.2922727272727273
2015-08-01,5.1,2.0952380952380952
2015-09-01,5.0,2.1485714285714286
2015-10-01,5.0,2.0533333333333333
2015-11-01,5.1,2.1368421052631579
2015-12-01,5.0,2.0140909090909091
2016-01-01,4.9,1.8278947368421053
2016-02-01,4.9,1.4650000000000000
2016-03-01,5.0,1.5918181818181818
2016-04-01,5.0,1.5771428571428571
2016-05-01,4.8,1.5295238095238095
2016-06-01,4.9,1.3713636363636364
2016-07-01,4.8,1.2030000000000000
2016-08-01,4.9,1.2569565217391304
2016-09-01,5.0,1.3361904761904762
2016-10-01,4.9,1.4330000000000000
2016-11-01,4.7,1.6895000000000000
2016-12-01,4.7,1.9800000000000000
2017-01-01,4.7,1.9135000000000000
2017-02-01,4.6,1.8926315789473684
2017-03-01,4.4,1.7339130434782609
2017-04-01,4.4,1.4889473684210526
2017-05-01,4.4,1.4004545454545455
2017-06-01,4.3,1.1877272727272727
2017-07-01,4.3,1.2315000000000000
2017-08-01,4.4,1.1769565217391304
2017-09-01,4.2,1.1555000000000000
2017-10-01,4.1,1.2666666666666667
2017-11-01,4.2,1.1028571428571429
2017-12-01,4.1,1.0610000000000000
2018-01-01,4.1,1.1514285714285714
2018-02-01,4.1,1.2710526315789474
2018-03-01,4.0,1.1157142857142857
2018-04-01,4.0,1.0809523809523810
2018-05-01,3.8,1.0781818181818182
2018-06-01,4.0,0.97714285714285714286
2018-07-01,3.8,0.89428571428571428571
2018-08-01,3.8,0.81652173913043478261
2018-09-01,3.7,0.83894736842105263158
2018-10-01,3.8,0.85909090909090909091
2018-11-01,3.7,0.74300000000000000000
2018-12-01,3.9,0.42052631578947368421
2019-01-01,4.0,0.29000000000000000000
2019-02-01,3.8,0.23842105263157894737
2019-03-01,3.8,0.11714285714285714286
2019-04-01,3.6,0.09952380952380952381
2019-05-01,3.6,-0.00818181818181818182
2019-06-01,3.7,-0.14550000000000000000
2019-07-01,3.7,-0.08590909090909090909
2019-08-01,3.7,-0.36409090909090909091
2019-09-01,3.5,-0.23500000000000000000
2019-10-01,3.6,0.02818181818181818182
2019-11-01,3.5,0.24000000000000000000
2019-12-01,3.5,0.29761904761904761905
2020-01-01,3.6,0.20523809523809523810
2020-02-01,.,-0.04052631578947368421
2020-03-01,.,.
