,Date,Kp_max,Kp,Ap,C9,Rz,SFU
124,2004-05-04,3.0,15.0,7,2,33,88.9
125,2004-05-05,4.0,23.0,14,4,29,90.1
126,2004-05-06,2.6666666666666665,16.333333333333332,8,2,20,88.0
127,2004-05-07,4.0,24.666666666666668,16,4,16,86.8
128,2004-05-08,2.6666666666666665,17.333333333333332,8,2,17,88.9
129,2004-05-09,2.3333333333333335,10.333333333333334,5,1,24,95.0
130,2004-05-10,2.6666666666666665,11.666666666666666,6,1,29,94.8
131,2004-05-11,4.0,18.333333333333332,12,3,25,92.0
132,2004-05-12,4.666666666666667,17.333333333333332,12,3,40,100.9
133,2004-05-13,4.333333333333333,19.0,12,3,37,103.0
134,2004-05-14,2.3333333333333335,11.0,5,1,54,112.1
135,2004-05-15,3.3333333333333335,13.333333333333334,7,1,58,117.9
136,2004-05-16,1.6666666666666667,8.0,4,0,73,121.0
137,2004-05-17,2.0,7.333333333333333,4,0,69,113.7
138,2004-05-18,1.3333333333333333,7.333333333333333,4,0,60,110.4
139,2004-05-19,3.6666666666666665,15.333333333333334,9,2,58,111.4
140,2004-05-20,4.333333333333333,20.666666666666668,13,3,59,107.2
141,2004-05-21,3.6666666666666665,13.666666666666666,7,2,52,109.6
142,2004-05-22,3.3333333333333335,14.0,8,2,47,105.0
143,2004-05-23,3.0,20.0,11,3,59,106.6
144,2004-05-24,3.3333333333333335,18.0,10,3,62,107.9
145,2004-05-25,1.6666666666666667,9.333333333333334,4,1,55,105.1
146,2004-05-26,1.3333333333333333,6.333333333333333,3,0,43,106.1
147,2004-05-27,1.6666666666666667,7.666666666666667,4,0,32,104.6
148,2004-05-28,2.6666666666666665,13.333333333333334,7,2,30,105.2
149,2004-05-29,3.6666666666666665,23.666666666666668,15,4,31,104.0
150,2004-05-30,3.6666666666666665,19.666666666666668,12,3,35,102.4
151,2004-05-31,4.333333333333333,20.666666666666668,12,3,34,98.1
152,2004-06-01,3.6666666666666665,24.666666666666668,16,4,35,92.5
153,2004-06-02,3.0,19.333333333333332,10,3,36,93.0
154,2004-06-03,3.0,14.666666666666666,8,2,37,92.6
155,2004-06-04,2.6666666666666665,14.666666666666666,7,2,36,92.0
156,2004-06-05,3.6666666666666665,19.333333333333332,11,3,36,87.0
157,2004-06-06,3.3333333333333335,20.0,11,3,29,91.0
158,2004-06-07,3.6666666666666665,14.666666666666666,8,2,37,91.2
159,2004-06-08,3.3333333333333335,17.666666666666668,9,2,33,88.6
160,2004-06-09,3.3333333333333335,22.0,13,4,34,87.9
161,2004-06-10,3.3333333333333335,16.666666666666668,10,2,31,85.0
162,2004-06-11,2.6666666666666665,9.666666666666666,5,1,24,86.5
163,2004-06-12,1.6666666666666667,6.333333333333333,3,0,18,90.7
164,2004-06-13,1.6666666666666667,7.0,4,0,28,98.2
165,2004-06-14,3.3333333333333335,17.333333333333332,10,2,35,103.1
166,2004-06-15,4.333333333333333,25.0,18,5,44,112.9
167,2004-06-16,3.0,14.0,7,2,64,115.1
168,2004-06-17,2.3333333333333335,14.666666666666666,7,1,62,114.9
