"logLik" "logLik_se" "Beta" "mu_IR" "rho" "mu_R1" "mu_R2"
-3730.19756368086 0.00259806565046336 3.83086048156307 4.7340845007197 0.00930769391513516 0.99 0.8
-3309.56038377483 6.33800199629934 0.34863589169614 0.0923591395692306 0.768761321471134 0.99 0.8
-3362.33510103875 10.860666266363 1.15619484490228 0.102584088208021 0.898380460727235 0.99 0.8
-3729.99031633446 0.00191427453908384 0.875954071868817 116.834077492827 0.0115058358226528 0.99 0.8
-3268.33013683704 1.83543913167817 0.155483911865705 0.0868823936158309 0.701006670118354 0.99 0.8
-3174.25382219393 12.3506241730993 0.620870178863831 0.0859578713316116 0.848284564239075 0.99 0.8
-3141.86069954172 12.9788706280502 0.221590366371419 0.0863999625524946 0.896564378680392 0.99 0.8
-2581.61886540427 1.20124520045029 0.73771116955649 11.8630474901339 0.0110064288838987 0.99 0.8
-3722.71306781254 0.000755700907780004 0.942406346917957 56.6900373654598 0.689638983340412 0.99 0.8
-3332.53377181779 5.9432556208871 1.2654344062733 15.6851490942676 0.0114534080450436 0.99 0.8
-3411.61169965026 13.9307679202969 0.0740774110171421 10.0707065154852 0.010833898499018 0.99 0.8
-3252.04935261581 4.89506927241737 1.54267937386856 0.081276326508901 0.857725295508331 0.99 0.8
-3643.82966502568 0.00158828484663635 0.262116767393888 24.6915440399818 0.656295628267113 0.99 0.8
-2558.83079079693 0.675621328009937 3.05605402010269 0.0973163374428104 0.021038922113902 0.99 0.8
-3727.17235068448 0.000727347560868666 0.0591893158959357 0.0965650440266213 0.815880870221775 0.99 0.8
-3729.94450829794 0.00249631727184694 0.859031932280532 23.4630492809917 0.0115123794424358 0.99 0.8
-3284.79301019712 1.00677691895286 0.483888433973071 8.40824336645737 0.0104113409882957 0.99 0.8
