DATE,WILL5000INDFC
2017-10-23,118.41
2017-10-24,118.60
2017-10-25,118.00
2017-10-26,118.20
2017-10-27,119.18
2017-10-30,118.68
2017-10-31,118.95
2017-11-01,119.04
2017-11-02,119.08
2017-11-03,119.41
2017-11-06,119.59
2017-11-07,119.41
2017-11-08,119.57
2017-11-09,119.10
2017-11-10,119.10
2017-11-13,119.19
2017-11-14,118.90
2017-11-15,118.29
2017-11-16,119.44
2017-11-17,119.28
2017-11-20,119.51
2017-11-21,120.30
2017-11-22,120.25
2017-11-23,.
2017-11-24,120.49
2017-11-27,120.38
2017-11-28,121.58
2017-11-29,121.56
2017-11-30,122.52
2017-12-01,122.32
2017-12-04,122.15
2017-12-05,121.62
2017-12-06,121.51
2017-12-07,122.04
2017-12-08,122.66
2017-12-11,123.00
2017-12-12,123.11
2017-12-13,123.13
2017-12-14,122.60
2017-12-15,123.69
2017-12-18,124.51
2017-12-19,124.05
2017-12-20,124.01
2017-12-21,124.31
2017-12-22,124.26
2017-12-25,.
2017-12-26,124.21
2017-12-27,124.29
2017-12-28,124.59
2017-12-29,123.92
2018-01-01,.
2018-01-02,124.96
2018-01-03,125.72
2018-01-04,126.17
2018-01-05,126.95
2018-01-08,127.22
2018-01-09,127.37
2018-01-10,127.25
2018-01-11,128.33
2018-01-12,129.10
2018-01-15,.
2018-01-16,128.50
2018-01-17,129.67
2018-01-18,129.40
2018-01-19,130.15
2018-01-22,131.23
2018-01-23,131.59
2018-01-24,131.41
2018-01-25,131.48
2018-01-26,132.89
2018-01-29,131.97
2018-01-30,130.59
2018-01-31,130.56
2018-02-01,130.56
2018-02-02,127.84
2018-02-05,122.78
2018-02-06,124.76
2018-02-07,124.29
2018-02-08,119.77
2018-02-09,121.40
2018-02-12,123.04
2018-02-13,123.43
2018-02-14,125.21
2018-02-15,126.69
2018-02-16,126.75
2018-02-19,.
2018-02-20,125.95
2018-02-21,125.34
2018-02-22,125.39
2018-02-23,127.31
2018-02-26,128.68
2018-02-27,127.03
2018-02-28,125.66
2018-03-01,124.22
2018-03-02,125.02
2018-03-05,126.38
2018-03-06,126.84
2018-03-07,126.94
2018-03-08,127.42
2018-03-09,129.54
2018-03-12,129.49
2018-03-13,128.67
2018-03-14,128.02
2018-03-15,127.75
2018-03-16,128.12
2018-03-19,126.35
2018-03-20,126.51
2018-03-21,126.42
2018-03-22,123.33
2018-03-23,120.80
2018-03-26,123.91
2018-03-27,121.70
2018-03-28,121.40
2018-03-29,123.05
2018-03-30,.
2018-04-02,120.31
2018-04-03,121.77
2018-04-04,123.17
2018-04-05,124.08
2018-04-06,121.46
2018-04-09,121.79
2018-04-10,123.87
2018-04-11,123.34
