DATE,price
2017/7/19,1239.85
2017/7/20,1236.55
2017/7/21,1247.25
2017/7/24,1255.85
2017/7/25,1252
2017/7/26,1245.4
2017/7/27,1262.05
2017/7/28,1259.6
2017/7/31,1266.35
2017/8/1,1267.05
2017/8/2,1266.65
2017/8/3,1261.8
2017/8/4,1269.3
2017/8/7,1257.55
2017/8/8,1261.45
2017/8/9,1267.95
2017/8/10,1278.9
2017/8/11,1288.3
2017/8/14,1281.1
2017/8/16,1270.15
2017/8/17,1285.9
2017/8/18,1295.25
2017/8/21,1287.6
2017/8/22,1285.1
2017/8/23,1286.45
2017/8/24,1285.9
2017/8/25,1287.05
2017/8/29,1323.4
2017/8/30,1310.6
2017/8/31,1305.8
2017/9/1,1318.4
2017/9/4,1334.6
2017/9/5,1331.15
2017/9/6,1340.15
2017/9/7,1340.45
2017/9/8,1350.9
2017/9/11,1338.75
2017/9/12,1326.25
2017/9/13,1332.25
2017/9/14,1323
2017/9/15,1325
2017/9/18,1314.4
2017/9/19,1308.45
2017/9/20,1314.9
2017/9/21,1297.35
2017/9/22,1297
2017/9/25,1295.5
2017/9/26,1306.9
2017/9/27,1291.3
2017/9/28,1284.3
2017/9/29,1286.95
2017/10/2,1273.1
2017/10/3,1270.7
2017/10/4,1275.55
2017/10/5,1278.4
2017/10/6,1268.2
2017/10/9,1282.15
2017/10/10,1289.6
2017/10/11,1290.2
2017/10/12,1294.45
2017/10/13,1293.9
2017/10/16,1305.15
2017/10/17,1289.7
2017/10/18,1280.65
2017/10/19,1283.4
2017/10/20,1280.25
2017/10/23,1275.25
2017/10/24,1278.3
2017/10/25,1273
2017/10/26,1278
2017/10/27,1267.8
2017/10/30,1272.75
2017/10/31,1274.4
2017/11/1,1279.25
2017/11/2,1276.4
2017/11/3,1275.3
2017/11/6,1271.6
2017/11/7,1276.35
2017/11/8,1282.25
2017/11/9,1284
2017/11/10,1284.45
2017/11/13,1278.4
2017/11/14,1273.7
2017/11/15,1285.7
2017/11/16,1277.7
2017/11/17,1283.85
2017/11/20,1292.35
2017/11/21,1280
2017/11/22,1283.95
2017/11/23,1290.15
2017/11/24,1289.15
2017/11/27,1294.7
2017/11/28,1293.9
2017/11/29,1294.85
2017/11/30,1282.15
2017/12/1,1277.25
2017/12/4,1279.1
2017/12/5,1275.9
2017/12/6,1268.55
2017/12/7,1256.8
2017/12/8,1245.85
2017/12/11,1251.4
2017/12/12,1243.4
2017/12/13,1241.6
2017/12/14,1255.6
2017/12/15,1257.25
2017/12/18,1258.65
2017/12/19,1263.1
2017/12/20,1265.95
2017/12/21,1265.85
2017/12/22,1268.05
2017/12/27,1285.4
2017/12/28,1291.6
2017/12/29,1296.5
2018/1/2,1312.8
2018/1/3,1314.6
2018/1/4,1313.7
2018/1/5,1317.9
2018/1/8,1318.8
2018/1/9,1314.95
2018/1/10,1321.65
2018/1/11,1319.85
2018/1/12,1332.9
2018/1/15,1343
2018/1/16,1334.95
2018/1/17,1337.35
2018/1/18,1329.75
2018/1/19,1335.8
2018/1/22,1334.15
2018/1/23,1337.1
2018/1/24,1350.5
2018/1/25,1360.25
2018/1/26,1354.35
2018/1/29,1348.4
2018/1/30,1345.7
2018/1/31,1343.35
2018/2/1,1341.1
2018/2/2,1345
2018/2/5,1337.1
2018/2/6,1344.65
2018/2/7,1328.5
2018/2/8,1311.05
2018/2/9,1316.05
2018/2/12,1321.7
2018/2/13,1329.4
2018/2/14,1330.75
2018/2/15,1353.7
