Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
02/22/2019,AQS,261619991,1,0.045,ppm,42,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
02/23/2019,AQS,261619991,1,0.036,ppm,33,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
02/24/2019,AQS,261619991,1,0.047,ppm,44,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
02/25/2019,AQS,261619991,1,0.043,ppm,40,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
02/26/2019,AQS,261619991,1,0.035,ppm,32,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
02/27/2019,AQS,261619991,1,0.034,ppm,31,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
02/28/2019,AQS,261619991,1,0.038,ppm,35,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/01/2019,AQS,261619991,1,0.036,ppm,33,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/02/2019,AQS,261619991,1,0.048,ppm,44,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/03/2019,AQS,261619991,1,0.042,ppm,39,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/04/2019,AQS,261619991,1,0.038,ppm,35,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/05/2019,AQS,261619991,1,0.042,ppm,39,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/06/2019,AQS,261619991,1,0.042,ppm,39,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/07/2019,AQS,261619991,1,0.046,ppm,43,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/08/2019,AQS,261619991,1,0.048,ppm,44,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/09/2019,AQS,261619991,1,0.051,ppm,47,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/10/2019,AQS,261619991,1,0.048,ppm,44,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/11/2019,AQS,261619991,1,0.051,ppm,47,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/12/2019,AQS,261619991,1,0.05,ppm,46,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/13/2019,AQS,261619991,1,0.035,ppm,32,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/14/2019,AQS,261619991,1,0.04,ppm,37,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/15/2019,AQS,261619991,1,0.04,ppm,37,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/16/2019,AQS,261619991,1,0.042,ppm,39,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/17/2019,AQS,261619991,1,0.042,ppm,39,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/18/2019,AQS,261619991,1,0.047,ppm,44,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/19/2019,AQS,261619991,1,0.048,ppm,44,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/20/2019,AQS,261619991,1,0.041,ppm,38,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/21/2019,AQS,261619991,1,0.039,ppm,36,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/22/2019,AQS,261619991,1,0.041,ppm,38,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/23/2019,AQS,261619991,1,0.046,ppm,43,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/24/2019,AQS,261619991,1,0.049,ppm,45,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/25/2019,AQS,261619991,1,0.044,ppm,41,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/26/2019,AQS,261619991,1,0.048,ppm,44,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/27/2019,AQS,261619991,1,0.049,ppm,45,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/28/2019,AQS,261619991,1,0.054,ppm,50,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/29/2019,AQS,261619991,1,0.039,ppm,36,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/30/2019,AQS,261619991,1,0.04,ppm,37,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
03/31/2019,AQS,261619991,1,0.043,ppm,40,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
04/01/2019,AQS,261619991,1,0.044,ppm,41,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
04/02/2019,AQS,261619991,1,0.045,ppm,42,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
04/03/2019,AQS,261619991,1,0.048,ppm,44,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
04/04/2019,AQS,261619991,1,0.039,ppm,36,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
04/05/2019,AQS,261619991,1,0.041,ppm,38,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
04/06/2019,AQS,261619991,1,0.055,ppm,51,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
04/07/2019,AQS,261619991,1,0.051,ppm,47,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
04/08/2019,AQS,261619991,1,0.051,ppm,47,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
04/09/2019,AQS,261619991,1,0.047,ppm,44,Ann Arbor,17,100,44201,Ozone,11460,"Ann Arbor, MI",26,Michigan,161,Washtenaw,42.4166360009395,-83.902185
